CaseID,RequestorID,RequestorType,CaseOwner,CaseType,CaseStatus,TierLevel,Priority,DateReceived,SatisfactionScore,DateClosed
HRHD000076,1001644719,2 - Regular,vuo1zJHG,Attrition & Retention,Closed,Tier 1,1 - Low,2014-01-13 01:14:08.049921996,2 - Satisfied,2014-01-15 01:14:08.049921996
HRHD000077,1106026433,1 - Intern,m5kYwx5P,Benefits & Compensation,Closed,Tier 2,0 - None,2014-01-13 05:05:31.357254290,0 - Unknown,2014-01-13 05:05:31.357254290
HRHD000078,1001084890,2 - Regular,oDoCidPt,Employee Relations,Closed,Tier 1,2 - Medium,2014-01-13 08:56:54.664586583,2 - Satisfied,2014-01-13 08:56:54.664586583
HRHD000079,1410070998,4 - Management,XLbl6V9K,Recruitment & Selection,Closed,Tier 2,3 - High,2014-01-13 12:48:17.971918876,1 - Unsatisfied,2014-01-17 12:48:17.971918876
HRHD000080,1009919980,2 - Regular,oDoCidPt,Employee Relations,Closed,Tier 1,1 - Low,2014-01-13 16:39:41.279251170,2 - Satisfied,2014-01-17 16:39:41.279251170
HRHD000081,1104025466,3 - Non-staff,tSjw2hYY,Recruitment & Selection,Closed,Tier 1,0 - None,2014-01-13 20:31:04.586583463,3 - Highly satisfied,2014-01-18 20:31:04.586583463
HRHD000082,1009919920,2 - Regular,oDoCidPt,Employee Relations,Closed,Tier 1,1 - Low,2014-01-14 00:22:27.893915756,0 - Unknown,2014-01-14 00:22:27.893915756
HRHD000083,1001970770,1 - Intern,Qwsfd5ND,Benefits & Compensation,Closed,Tier 1,0 - None,2014-01-14 04:13:51.201248049,0 - Unknown,2014-01-18 04:13:51.201248049
HRHD000084,1201031308,2 - Regular,Qwsfd5ND,Benefits & Compensation,Closed,Tier 1,3 - High,2014-01-14 08:05:14.508580343,1 - Unsatisfied,2014-01-17 08:05:14.508580343
HRHD000085,1009920000,1 - Intern,vuo1zJHG,Attrition & Retention,Closed,Tier 1,0 - None,2014-01-14 11:56:37.815912636,3 - Highly satisfied,2014-01-18 11:56:37.815912636
HRHD000086,1007020403,2 - Regular,nbRWtYc6,Training & Development,Closed,Tier 1,0 - None,2014-01-14 15:48:01.123244929,1 - Unsatisfied,2014-01-14 15:48:01.123244929
HRHD000087,1211051232,4 - Management,tSjw2hYY,Recruitment & Selection,Closed,Tier 1,0 - None,2014-01-14 19:39:24.430577223,0 - Unknown,2014-01-17 19:39:24.430577223
HRHD000088,1403066020,1 - Intern,Qwsfd5ND,Benefits & Compensation,Closed,Tier 1,1 - Low,2014-01-14 23:30:47.737909516,1 - Unsatisfied,2014-01-15 23:30:47.737909516
HRHD000089,1301052436,2 - Regular,nbRWtYc6,Training & Development,Closed,Tier 1,3 - High,2014-01-15 03:22:11.045241809,0 - Unknown,2014-01-17 03:22:11.045241809
HRHD000090,1008020960,3 - Non-staff,Qwsfd5ND,Benefits & Compensation,Closed,Tier 1,0 - None,2014-01-15 07:13:34.352574103,0 - Unknown,2014-01-18 07:13:34.352574103
HRHD000091,1501071909,1 - Intern,tSjw2hYY,Recruitment & Selection,Closed,Tier 1,0 - None,2014-01-15 11:04:57.659906396,0 - Unknown,2014-01-19 11:04:57.659906396
HRHD000092,1401064562,4 - Management,QFu2Ydv1,Attrition & Retention,Closed,Tier 2,3 - High,2014-01-15 14:56:20.967238689,2 - Satisfied,2014-01-18 14:56:20.967238689
HRHD000093,1404066622,4 - Management,m5kYwx5P,Benefits & Compensation,Closed,Tier 2,3 - High,2014-01-15 18:47:44.274570982,3 - Highly satisfied,2014-01-17 18:47:44.274570982
HRHD000094,1192991000,1 - Intern,QFu2Ydv1,Attrition & Retention,Closed,Tier 2,3 - High,2014-01-15 22:39:07.581903276,0 - Unknown,2014-01-18 22:39:07.581903276
HRHD000095,1308060671,3 - Non-staff,tSjw2hYY,Recruitment & Selection,Closed,Tier 1,3 - High,2014-01-16 02:30:30.889235569,0 - Unknown,2014-01-18 02:30:30.889235569
HRHD000096,602000312,4 - Management,XLbl6V9K,Recruitment & Selection,Closed,Tier 2,0 - None,2014-01-16 06:21:54.196567862,0 - Unknown,2014-01-17 06:21:54.196567862
HRHD000097,1307060058,3 - Non-staff,3vGwUNjj,Training & Development,Closed,Tier 2,2 - Medium,2014-01-16 10:13:17.503900156,1 - Unsatisfied,2014-01-17 10:13:17.503900156
HRHD000098,1406067957,2 - Regular,Qwsfd5ND,Benefits & Compensation,Closed,Tier 1,3 - High,2014-01-16 14:04:40.811232449,3 - Highly satisfied,2014-01-19 14:04:40.811232449
HRHD000099,1106026433,2 - Regular,tSjw2hYY,Recruitment & Selection,Closed,Tier 1,1 - Low,2014-01-16 17:56:04.118564742,3 - Highly satisfied,2014-01-18 17:56:04.118564742
HRHD000100,1001970770,2 - Regular,QFu2Ydv1,Attrition & Retention,Closed,Tier 2,2 - Medium,2014-01-16 21:47:27.425897035,3 - Highly satisfied,2014-01-19 21:47:27.425897035
HRHD000101,602000312,2 - Regular,m5kYwx5P,Benefits & Compensation,Closed,Tier 2,3 - High,2014-01-17 01:38:50.733229329,3 - Highly satisfied,2014-01-22 01:38:50.733229329
HRHD000102,1106026462,4 - Management,QFu2Ydv1,Attrition & Retention,Closed,Tier 2,3 - High,2014-01-17 05:30:14.040561622,1 - Unsatisfied,2014-01-20 05:30:14.040561622
HRHD000103,1406067865,3 - Non-staff,vuo1zJHG,Attrition & Retention,Closed,Tier 1,0 - None,2014-01-17 09:21:37.347893915,3 - Highly satisfied,2014-01-22 09:21:37.347893915
HRHD000104,1402065355,3 - Non-staff,QFu2Ydv1,Attrition & Retention,Closed,Tier 2,0 - None,2014-01-17 13:13:00.655226209,1 - Unsatisfied,2014-01-18 13:13:00.655226209
HRHD000105,1201031438,2 - Regular,vuo1zJHG,Attrition & Retention,Closed,Tier 1,0 - None,2014-01-17 17:04:23.962558502,1 - Unsatisfied,2014-01-20 17:04:23.962558502
HRHD000106,1010022337,1 - Intern,oDoCidPt,Employee Relations,Closed,Tier 1,1 - Low,2014-01-17 20:55:47.269890795,0 - Unknown,2014-01-20 20:55:47.269890795
HRHD000107,1103024335,2 - Regular,vuo1zJHG,Attrition & Retention,Closed,Tier 1,2 - Medium,2014-01-18 00:47:10.577223088,0 - Unknown,2014-01-19 00:47:10.577223088
HRHD000108,1001268402,3 - Non-staff,Qwsfd5ND,Benefits & Compensation,Closed,Tier 1,0 - None,2014-01-18 04:38:33.884555382,0 - Unknown,2014-01-21 04:38:33.884555382
HRHD000109,1009919950,4 - Management,m5kYwx5P,Benefits & Compensation,Closed,Tier 2,3 - High,2014-01-18 08:29:57.191887675,3 - Highly satisfied,2014-01-21 08:29:57.191887675
HRHD000110,1202031618,2 - Regular,m5kYwx5P,Benefits & Compensation,Closed,Tier 2,0 - None,2014-01-18 12:21:20.499219968,2 - Satisfied,2014-01-20 12:21:20.499219968
HRHD000111,1103024679,1 - Intern,nbRWtYc6,Training & Development,Closed,Tier 1,0 - None,2014-01-18 16:12:43.806552262,0 - Unknown,2014-01-19 16:12:43.806552262
HRHD000112,1101023679,1 - Intern,Qwsfd5ND,Benefits & Compensation,Closed,Tier 1,1 - Low,2014-01-18 20:04:07.113884555,1 - Unsatisfied,2014-01-19 20:04:07.113884555
HRHD000113,1301052124,4 - Management,XLbl6V9K,Recruitment & Selection,Closed,Tier 2,0 - None,2014-01-18 23:55:30.421216848,1 - Unsatisfied,2014-01-23 23:55:30.421216848
HRHD000114,1408069882,4 - Management,3vGwUNjj,Training & Development,Closed,Tier 2,3 - High,2014-01-19 03:46:53.728549142,3 - Highly satisfied,2014-01-22 03:46:53.728549142
HRHD000115,1501072192,2 - Regular,XLbl6V9K,Recruitment & Selection,Closed,Tier 2,3 - High,2014-01-19 07:38:17.035881435,3 - Highly satisfied,2014-01-25 07:38:17.035881435
HRHD000116,1201031308,4 - Management,Qwsfd5ND,Benefits & Compensation,Closed,Tier 1,3 - High,2014-01-19 11:29:40.343213728,3 - Highly satisfied,2014-01-19 11:29:40.343213728
HRHD000117,1001450968,3 - Non-staff,3vGwUNjj,Training & Development,Closed,Tier 2,0 - None,2014-01-19 15:21:03.650546021,1 - Unsatisfied,2014-01-19 15:21:03.650546021
HRHD000118,1304055986,3 - Non-staff,3vGwUNjj,Training & Development,Closed,Tier 2,3 - High,2014-01-19 19:12:26.957878315,3 - Highly satisfied,2014-01-20 19:12:26.957878315
HRHD000119,1409070255,1 - Intern,QFu2Ydv1,Attrition & Retention,Closed,Tier 2,1 - Low,2014-01-19 23:03:50.265210608,1 - Unsatisfied,2014-01-19 23:03:50.265210608
HRHD000120,1501072180,2 - Regular,tSjw2hYY,Recruitment & Selection,Closed,Tier 1,2 - Medium,2014-01-20 02:55:13.572542901,3 - Highly satisfied,2014-01-22 02:55:13.572542901
HRHD000121,1408069503,4 - Management,qabMRJqu,Employee Relations,Closed,Tier 2,3 - High,2014-01-20 06:46:36.879875195,3 - Highly satisfied,2014-01-20 06:46:36.879875195
HRHD000122,1501072192,2 - Regular,QFu2Ydv1,Attrition & Retention,Closed,Tier 2,0 - None,2014-01-20 10:38:00.187207488,3 - Highly satisfied,2014-01-26 10:38:00.187207488
HRHD000123,1009919940,2 - Regular,nbRWtYc6,Training & Development,Closed,Tier 1,1 - Low,2014-01-20 14:29:23.494539781,3 - Highly satisfied,2014-01-21 14:29:23.494539781
HRHD000124,1001956578,2 - Regular,m5kYwx5P,Benefits & Compensation,Closed,Tier 2,3 - High,2014-01-20 18:20:46.801872074,3 - Highly satisfied,2014-01-25 18:20:46.801872074
HRHD000125,1409070147,2 - Regular,tSjw2hYY,Recruitment & Selection,Closed,Tier 1,0 - None,2014-01-20 22:12:10.109204368,3 - Highly satisfied,2014-01-20 22:12:10.109204368
HRHD000126,1212051409,4 - Management,tSjw2hYY,Recruitment & Selection,Closed,Tier 1,3 - High,2014-01-21 02:03:33.416536661,2 - Satisfied,2014-01-24 02:03:33.416536661
HRHD000127,903013071,3 - Non-staff,m5kYwx5P,Benefits & Compensation,Closed,Tier 2,0 - None,2014-01-21 05:54:56.723868954,1 - Unsatisfied,2014-01-22 05:54:56.723868954
HRHD000128,1499902910,4 - Management,Qwsfd5ND,Benefits & Compensation,Closed,Tier 1,0 - None,2014-01-21 09:46:20.031201248,0 - Unknown,2014-01-21 09:46:20.031201248
HRHD000129,1302053046,3 - Non-staff,qabMRJqu,Employee Relations,Closed,Tier 2,3 - High,2014-01-21 13:37:43.338533541,3 - Highly satisfied,2014-01-27 13:37:43.338533541
HRHD000130,1103024843,2 - Regular,3vGwUNjj,Training & Development,Closed,Tier 2,2 - Medium,2014-01-21 17:29:06.645865834,3 - Highly satisfied,2014-01-23 17:29:06.645865834
HRHD000131,1988299991,1 - Intern,Qwsfd5ND,Benefits & Compensation,Closed,Tier 1,0 - None,2014-01-21 21:20:29.953198127,0 - Unknown,2014-01-24 21:20:29.953198127
HRHD000132,1301052902,2 - Regular,QFu2Ydv1,Attrition & Retention,Closed,Tier 2,0 - None,2014-01-22 01:11:53.260530421,0 - Unknown,2014-01-28 01:11:53.260530421
HRHD000133,1408069882,2 - Regular,3vGwUNjj,Training & Development,Closed,Tier 2,0 - None,2014-01-22 05:03:16.567862714,1 - Unsatisfied,2014-01-27 05:03:16.567862714
HRHD000134,1504073313,4 - Management,oDoCidPt,Employee Relations,Closed,Tier 1,3 - High,2014-01-22 08:54:39.875195007,1 - Unsatisfied,2014-01-24 08:54:39.875195007
HRHD000135,1306058816,3 - Non-staff,qabMRJqu,Employee Relations,Closed,Tier 2,2 - Medium,2014-01-22 12:46:03.182527301,0 - Unknown,2014-01-22 12:46:03.182527301
HRHD000136,1405067565,4 - Management,qabMRJqu,Employee Relations,Closed,Tier 2,2 - Medium,2014-01-22 16:37:26.489859594,1 - Unsatisfied,2014-01-26 16:37:26.489859594
HRHD000137,1001856521,3 - Non-staff,qabMRJqu,Employee Relations,Closed,Tier 2,2 - Medium,2014-01-22 20:28:49.797191887,2 - Satisfied,2014-01-24 20:28:49.797191887
HRHD000138,1312063507,3 - Non-staff,qabMRJqu,Employee Relations,Closed,Tier 2,0 - None,2014-01-23 00:20:13.104524180,0 - Unknown,2014-01-28 00:20:13.104524180
HRHD000139,1001644719,2 - Regular,Qwsfd5ND,Benefits & Compensation,Closed,Tier 1,1 - Low,2014-01-23 04:11:36.411856474,3 - Highly satisfied,2014-01-23 04:11:36.411856474
HRHD000140,1009021646,1 - Intern,vuo1zJHG,Attrition & Retention,Closed,Tier 1,1 - Low,2014-01-23 08:02:59.719188767,1 - Unsatisfied,2014-01-24 08:02:59.719188767
HRHD000141,1499902910,1 - Intern,qabMRJqu,Employee Relations,Closed,Tier 2,2 - Medium,2014-01-23 11:54:23.026521060,0 - Unknown,2014-01-24 11:54:23.026521060
HRHD000142,1005019209,3 - Non-staff,tSjw2hYY,Recruitment & Selection,Closed,Tier 1,3 - High,2014-01-23 15:45:46.333853354,0 - Unknown,2014-01-25 15:45:46.333853354
HRHD000143,1306059197,1 - Intern,nbRWtYc6,Training & Development,Closed,Tier 1,0 - None,2014-01-23 19:37:09.641185647,0 - Unknown,2014-01-29 19:37:09.641185647
HRHD000144,1110029623,1 - Intern,3vGwUNjj,Training & Development,Closed,Tier 2,0 - None,2014-01-23 23:28:32.948517940,2 - Satisfied,2014-01-28 23:28:32.948517940
